אלמכ'תאר פי אלאמאנאת	(المختار في) الأمانات
באן ללאנסאן נפסא ואן	بأنَّ للإنسان نفسًا وإنْ
לם נשאהדהא לילא נבטל	لم نشاهدها لئَلاّ نُبطل
פעלהא אלט'אהר ואן לכל	فعلها الظاهر وأنَّ لكل
נפס עקלא ואן לם נשאהדה	نفس عقلاً وإنْ لم نشاهده
לילא נבטל פעלה אלט'אהר	لئَلاّ نُبطل فعله الظَّاهر
. והד'ה אלת'לאת'ה אצול	. وهذه الثلاثة أصول
וג'דנא מן אלנאס כת'ירין	وجدنا من النَّاس كثيرين
ינכרונהא פאלקליל מנהם	يُنكرونها فالقليل منهم
מן ג'חד אלאצל אלאול וסנד'כרהם	مَن جحد الأصل الأوَّل وسنذكرهم
פי אלמקאלה אלאולי מן	في المقالة الأولى مِنْ
הד'א אלכתאב ונרד עליהם	هذا الكتاب ونردُّ عليهم
، ובג'חודהם אלאצל אלאול	، وبجحودهم الأصل الأوَّل
פקד ג'חדוא אלת'אני ואלת'לאת'	فقد جحدوا الثاني والثالث
אד' המא מבניאן עליה .	إذ هما مُبنيان عليه .
ואכת'ר מנהם מן אקר באלאול	وأكثر منهم من أَقرَّ بالأوَّل
וג'חד אלת'אני ואלת'אלת'	وجحد الثاني والثالث
וסנד'כר קולהם איצ'א פי	وسنذكر قولهم أيضًا في
אלמקאלה אלאולי ונרד עליהם	المقالة الأولى ونردُّ عليهم
. ואכת'ר מן אלג'מיע מן	. وأكثر من الجميع مَن
אקר באלאצלין אלאולין	أقرَّ بالأصلين الأولين
וג'חד אלת'לאת' . וסבב	وجحدَ الثالث . وسبب
אכ'תלאף מקאדירהם פי ד'לך	اختلاف مقاديرهم في ذلك
לאן אלעלם אלת'אני אכ'פי	لأنَّ العِلم الثاني أخفى
מן אלאול וכד'לך אלת'אלת'	من الأوَّل وكذلك الثالث
אכ'פי מן אלת'אני פאלג'חוד	أخفى من الثاني فالجَحود
יסרע אלי אלכ'פי אכת'ר	يُسرع إلى الخفي أكثر
מן אלט'אהר . וקום ג'חדוא	من الظاهر . وقوم جحدوا
הד'א אלעלם אנצ'יאפא עלי	هذا العِلم انضيافًا على
אלבדל פכל פריק מנהם ית'בת	البدل فكلّ فريق منهم يثبت
מא נפאה כ'צמה ויחתג'	ما نفاه خصمه ويحتج
לה באן אלאצ'טראר דפעה	له بأنَّ الاضّطرار دفعه
אלי ד'לך כמן את'בת ג'מיע	إلى ذلك كمَن أثبت جميع
אלאשיא סאכנה וג'חד אלחרכה	الأشياء ساكنة وجحد الحركة
ואכ'ר את'בת ג'מיע אלאשיא	وآخر أثبت جميع الأشياء
מתחרכה וג'חד אלסכון וכל	متحرِّكة وجحد السُّكون وكلّ
ואחד יג'על מא אסתדל בה	واحد يجعل ما استدلَّ به
כ'צמה שכא ושבהה . ואמא	خصمه شكًّا وشبهة . وأمَّا
נחן ג'מאעהֿ אלמוחדין	نحن جماعة الموحِّدين
פנצדק בהד'ה אלת'לאת'	فنُصدِّق بهذه الثلاث
מואד אלתי ללעלם ונצ'יף	موائد التي للعِلم ونضيف
אליהא מאדה ראבעה אסתכ'רג'נאהא	إليها مائدة رابعة استخرجناها
באלת'לאת' פצארהֿ לנא	بالثلاث فصارت لنا
אצלא והי צחהֿ אלכ'בר	أصلاً وهي صحّة الخبر
אלצאדק פאנה מבני עלי	الصَّادق فإنَّه مبني على
עלם אלחס ועלם אלעקל כמא	عِلم الحسِّ وعِلم العقل كما
סנבין פי אלמקאלה אלת'אלת'ה	سنبيِّن في المقالة الثالثة
מן הד'א אלכתאב . פנקול	من هذا الكتاب . فنقول
האהנא אן אלעלם אעני אלכ'בר	هاهنا إنَّ العِلم أعني الخبر
אלצאדק ואלכתב אלמנזלה	الصَّادق والكُتُب المُنزَلة
יחקק לנא הד'ה אלת'לאת'ה	يحقّق لنا هذه الثلاثة
אצול אנהא עלום צחיחה	أصول إنَّها علوم صحيحة
לאנה יחצי אלחואס פי באב	لأنَّه يحصي الحواس في باب
נפיהא ען אלאות'אן פיג'עלהא	نفيها عن الأوثان فيجعلها
כ'מס יצ'ם אליהא את'נין	خمس يضم إليها اثنين
אד' יקול H H H H H ،	إذ يقول H H H H H ،
H H H ، H H H H H H H	H H H ، H H H H H H H
H ، H H H ، H H H ، H	H ، H H H ، H H H ، H
H H פהד'ה אלכ'מס אלאואיל	H H فهذه الخمس الأوائل
הי בעינהא אלחואס ואלאת'נתאן	هي بعينها الحواس والاثنتان
אלמצ'מומתאן אליהא אחדיהמא	المضمومتان إليها أحديهما
אלחרכה אד' קאל H H H	الحركة إذ قال H H H
ובה יעלם אלתת'קיל ואלתכ'פיף	وبه يعلم التثقيل والتخفيف
כמא יעאק אלאנסאן ען אלתחרך	كما يعاق الإنسان عن التحرّك
לת'קלה ולא ימנעה אלכ'פה	لثقله ولا يمنعه الخفَّة
וד'לך אן קומא תערצ'וא	وذلك أنَّ قومًا تعرَّضوا
ללזיאדה עלי עדד אלחואס	للزيادة على عدد الحواس
פקאלוא פפימא ד'א תעלם	فقالوا ففيما ذا تعلم
אלכ'פה ואלת'קל פנקול	الخفَّة الثقل فنقول
בדאים אלחרכה פתוג'ד סהלה	بدائم الحركة فتوجد سهلة
או צעבה . ואלאכ'רי אלנטק	أو صعبة . والأُخرى النُّطق
אד' קאל : H H H והו ג'מלהֿ	إذ قال : H H H وهو جملة
אלכלאם ד'ו אלאסמא ואלתאליף	الكلام ذو الأسماء والتأليف
ואלמקדמאת ואלבראהין עלי	والمقدِّمات والبراهين على
מא שרחנא . ת'ם חקק עלם	ما شرحنا . ثمَّ حقَّق عِلم
אלעקל פאמר באלצדק לא	العقل فأَمر بالصِّدق لا
אלכד'ב כקולה H H H H	الكذب كقوله H H H H
H H H H H H H ، H H H	H H H H H H H ، H H H
H . ת'ם חקק לנא אלעלם	H . ثمّ حقَّق لنا العِلمَ
אלצ'רורי באנה כל מא יודי	الضَّروريّ بأنَّه كلّ ما يؤدِّي
אלי דפע שי מן אלמחסוס	إلى دفع شيء من المحسوس
או מן אלמעקול פהו באטל	أو من المعقول فهو باطل
פאמא בטלאן מא דפע אלמחסוס	فأمَّا بطلان ما دفع المحسوس
פכמא קאל : H H H ، H	فكما قال : H H H ، H
H H ، H H H ؟ . ואמא	H H ، H H H ؟ . وأمَّا
בטלאן מא דפע אלמעקול	بطلان ما دفع المعقول
מן אלכד'ב ואלצדק פקאל	من الكذب والصِّدق فقال
פיה : H H H H H H H H	فيه : H H H H H H H H
. ת'ם ערפנא אן ג'מיע	. ثمّ عرَّفنا أَنَّ جميع
אלעלום מבניה עלי מא אדרכנאה	العلوم مبنيَّة على ما أدركناه
בחואסנא אלתי ד'כרנאהא	بحواسِّنا التي ذكرناها
ומתפרעה מנהא ומסתכ'רג'ה	ومُتفرِّعة منها ومُستخرجة
ענהא אד' קאל : H H H	عنها إذ قال : H H H
، H H H ، H H H H ، H	، H H H ، H H H H ، H
H H . ת'ם חקק לנא אלאכ'באר	H H . ثمَّ حقَّق لنا الأَخبار
אלצאדקה אנהא חק בקולה	الصَّادقة إنَّها حقٌّ بقوله
: H H H H H . H H H ،	: H H H H H . H H H ،
H H H H H H H ، H H H	H H H H H H H ، H H H
H . ולהא שראיט שרחנאהא	H . ولها شرائط شرحناها
פי תפסיר הד'ה אלפואסיק	في تفسير هذه الفواسيق
פי מוצ'עהא . ואד' קד	في موضعها . وإذ قد
ד'כרנא הד'ה אלאצול אלארבעה	ذكرنا هذه الأصول الأربعة
פינבגי אן נשרח כיף אלאסתדלאל	فينبغي أنْ نشرح كيف الاستدلال
ענהא ונקול אמא עלם אלחס	عنها ونقول أمَّا عِلم الحسّ
פכל מא וקע חסנא אלצחיח	فكلّ ما وقع حسُّنا الصَّحيح
באלוצלה אלתי ביננא ובינה	بالوصلة التي بيننا وبينه
פיג'ב אן נעתקד אנה הו	فيجب أنْ نعتقد أنَّه هو
עלי אלחק מת'ל מא אדרכנאה	على الحقّ مثل ما أدركناه
לא שך פיה בעד אן נתדרב	لا شكّ فيه بعد أنْ نتدرَّب
בחל אלתכ'ילאת פלא נגלט	بحل التخيلات فلا نغلط
בהא כאלקום אלד'ין אעתקדוא	بها كالقوم الذين اعتقدوا
אלצורה אלתי תרי פי אלמראה	الصورة التي تُرى في المرآة
אנהא צורה מבדעה הנאך	أنَّها صورة مُبدَعة هناك
עלי אלחקיקה ואנמא הי	على الحقيقة وإنَّما هي
כ'אציהֿ אלאג'סאם אלצקילה	خاصِّية الأجسام الصقيلة
אן תעכס צורהֿ מא יקאבלהא	أنْ تعكس صورة ما يقابلها
. ולא כאלקום אלד'ין ג'עלוא	. ولا كالقوم الذين جعلوا
אלקאמה אלתי תרי פי אלמא	القامة التي تُرى في الماء
מנעכסה אן להא חקיקה תבדע	منعكسة أنَّ لها حقيقة تُبدَع
פי ד'לך אלוקת ולם יעלמוא	في ذلك الوقت ولم يعلموا
אן אלסבב פי ד'לך הו אד'א	أنَّ السَّبب في ذلك هو إذا
כאן אלמא אעמק מקדארא	كان الماء أعمق مقدارًا
מן מקדאר טול אלקאמה .	من مقدار طول القامة .
פאד'א תחרזנא מן הד'ה	فإذا تحرَّزنا من هذه
ומא אשבההא כ'רג' אעתקאד	وما أشبهها خرج اعتقاد
אלמחסוסאת צחיחא ולא יגלטגא	المحسوسات صحيحًا ولا يُغلطنا
אלת'כיל כמא קאל : H H	التخيّل كما قال : H H
H H H H H . ואמא אלמעקולאת	H H H H H . وأَمَّا المعقولات
פכל מא תצור פי עקלנא	فكلُّ ما تصوَّر في عقلنا
אלסלים מן אלאפאת פהו	السَّليم من الآفات فهو
עלם חקיקי לא שך פיה בעד	عِلم حقيقي لا شكَّ فيه وبعد
אן נעלם כיף ננט'ר ת'ם	أنْ نعلمُ كيف ننظرُ ثمّ
נסתופי אלנט'ר ונחרז מן	نستوفي النَّظرَ ونحرزُ من
אלתכ'ילאת ואלאחלאם פאן	التخيّلات والأحلام فإنَّ
קומא את'בתוהא חקאיק מבדעה	قومًا أَثبتوها حقائق مُبدَعة
עלי צוראת מא ראהא אלאנסאן	على صورات ما رآها الإنسان
וכאן ענדהם אן ילתזמוא	وكان عندهم أنْ يلتزموا
ד'לך ללא ידפעוא אלמשאהד	ذلك لئَلاّ يدفعوا المشاهد
ולם יעלמוא אן בעצ'הא	ولم يعلموا أنَّ بعضهم
יכון מן מעאני אלנהאר	يكون من معاني النَّهار
אלמאצ'י אלתי ג'אזת אלפכר	الماضي التي جازت الفكر
ופיה יקול H H H H H .	وفيه يقول H H H H H .
ובעצ'הא מן קבל אלאגד'יה	وبعضها من قِبَلِ الأغذية
וחרהא וקרהא וכת'רתהא	وحرِّها وقرِّها وكثرتها
וקלתהא ופיה יקול אלכתאב	وقلَّتِها وفيه يقول الكتاب
: H H H H H H . ובעצ'הא	: H H H H H H . وبعضها
מן קבל אלכימוס אלגאלב	مِنْ قِبَلِ الكيموس الغالب
עלי אלמזאג' . ואלחאר	على المزاج . والحار
ואלרטב יכ'יל אפראחא ומלאהי	والرطب يُخيِّل أفراحًا وملاهي
[ואלבארד] ואליאבס יכ'יל	[والبارد] واليابس يُخيِّل
אחזאנא ומאתם ופיה יקול	أحزانًا ومآتمَ وفيه يقول
אלוג'ע אלעליל : H H :	الوجع العليل : H H :
H H ، H H H H H ، H H	H H ، H H H H H ، H H
ואנמא פיהא למעה מא עלויה	وإِنَّما فيها لمعة ما علوية
תשובהא עלי טריק אלתלכ'יץ	تشوبها على طريق التلخيص
ואלתמת'יל כקולה : H H	والتمثيل كقوله : H H
H ، H H H H ، H H H ،	H ، H H H H ، H H H ،
H ، H H H . ואמא אלצ'רוריאת	H ، H H H . وأمَّا الضَّروريات
מן אלעלום פאנא אד'א אדרך	من العلوم فإنّا إذا أدرك
חסנא שיא מא ותחקקה ,	حِسُّنَا شيئًا ما وتحقَّقَهُ ,
וכאן ד'לך אלשי לא ית'בת	وكان ذلك الشيء لا يثبت
פי נפוסנא אעתקאדה אלא	في نفوسنا اعتقاده إلاَّ
באעתקאד אשיא אכ'ר מעה	باعتقاد أشياء أُخر معه
, פיג'ב אן נעתקדהא כלהא	, فيجب أنْ نعتقدها كلَّها
קלילה כאנת או כת'ירה	قليلة كانت أو كثيرة
אד' לא יקום ד'לך אלמחסוס	إذ لا يقوم ذلك المحسوس
אלא בהא פרבמא כאנת ואחדה	إلاّ بها فربَّما كانت واحدة
ורבמא את'נתין או ת'לאת'ה	وربَّما اثنتين أو ثلاثة
או ארבעה או אכת'ר מן	أو أربعة أو لأكثر من
ד'לך פלו בלגת מא בלגת	ذلك فلو بلغت ما بلغت
אד' לא בד מן ד'לך אלמחסוס	إذ لا بدّ من ذلك المحسوس
פלא בד מנהא כלהא פאמא	فلا بدّ منها كلّها فأمَّا
אלפראד מנהא אלואחד פאנא	الفراد منها الواحد فإنَّا
אד'א ראינא דכ'אנא ולם	إذا رأينا دخانًا ولم
נר אלנאר אלתי תולד ענהא	نر النَّار التي تولَّد عنها
ד'לך אלד'כאן פואג'ב אן	ذلك الدُّخان فواجب أنْ
נעתקד וג'דאן אלנאר בוג'דאן	نعتقد وجدان النَّار بوجدان
אלדכ'אן אד' לא יתם הד'א	الدُّخان إذ لا يتم هذا
אלא בהד'א . וכד'לך אד'א	إلاَّ بهذا . وكذلك إذا
סמענא צות אנסאן מן ורא	سمعنا صوت إنسان من وراء
חאיט , פיג'ב אן נעתקד	حائط , فيجب أن نعتقد
וג'דאנה , אד' לא יכון	وجدانه , إذ لا يكون
צות אנסאן אלא ען אנסאן	صوت إنسان إلاَّ عن إنسان
מוג'וד ואמא מא זאד עלי	موجود وأَمَّا ما زاد على
אלואחד מנהא , פכמא נרי	الواحد منها , فكما نرى
אלגד'א ירד בטון אלחיואן	الغذاء يرد بطون الحيوان
מג'סמא ויכ'רג' ת'פלה	مجسَّمًا ويخرج ثُفْلَهُ
מנהא פאן לם נעתקד ארבעה	منها فإنْ لم نعتقد أربعة
אשיא לם יתם מא אדרכה	أشياء لم يتم ما أدركه
חסנא והי אן פיהא קוה	حسُّنا وهي أنَّ فيها قوَّة
ג'אד'בה ללגד'א אלי דאכ'ל	جاذبة للغذاء إلى داخل
וקוה מאסכא לה אלי אן	وقوَّة ماسكًا له إلى أَنْ
ינצ'ג' וקוה האצ'מה לה	ينضج وقوَّة هاضمة له
ממאסיה וקוה דאפעה לת'פלה	مماسية وقوَّة دافعة لثُفْلِهِ
בהא מא צאר אלי כ'ארג'	بها ما صار إلى خارج
. פאד'א כאן אלמחסוס לא	. فإذا كان المحسوس لا
יתם אלא בהד'ה אלארבע	يتم إلاَّ بهذه الأربع
פיג'ב אן נעתקד אן אלארבע	فيجب أنْ نعتقد أنَّ الأربع
חק . ורבמא לם יתם לנא	حقّ . وربَّما لم يتمّ لنا
אעתקאד מא שאהדנאה חתי	اعتقاد ما شاهدناه حتّى
ננשי צנאעה תחקקה לנא	ننشئ صناعة تحقّقه لنا
ורבמא אחתג'נא אלי צנאיע	وربَّما احتجنا إلى صنائع
כת'ירה פאד'א צח אן ד'לך	كثيرة فإذا صحَّ أنَّ ذلك
אלשי אלמחסוס מתעלק בהא	الشيء المحسوس متعلِّق بها
וג'ב אן נעתקדהא כלהא	وجب أنْ نعتقدها كلّها
חקא חתי ית'בת ד'לך אלמחסוס	حقًّا حتّى يثبت ذلك المحسوس
וד'לך כמא נשאהד אלקמר	وذلك كما نشاهد القمر
יטלע עלי אלארץ' ויגיב	يطلع على الأرض ويجيب
פי אוקאת מכת'לפה מן ליל	في أوقات مختلفة من ليل
ונהאר ומע ד'לך יסיר מסירא	ونهار ومع ذلك يسير مسيرًا
טוילא ומסירא קצירא כמא	طويلاً ومسيرًا قصيرًا كما
יקצר אחיאנא ען בלוג אחדי	يقصر أحيانًا عن بلوغ إحدى
אלמנאזל אלת'מאניה ועשרון	المنازل الثمانية وعشرون
אלתי אדרכנאהא פסמינאהא	التي أدركناها فسمَّيناها
באסמא וימתד אחיאנא פיג'וזהא	بأَسماء ويمتد أحيانًا فيجوزها
ומע ד'לך פנראה תארה טאענא	ومع ذلك فنراه تارة طاعنًا
פי אלג'נוב ואכ'רי פי	في الجنوب وأخرى في
אלשמאל פנעלם מן ד'לך	الشِّمال فنعلم من ذلك
אנה לו כאנת לה חרכה ואחדה	أنَّه لو كانت له حركة واحدة
פקט לם יכ'תלף מסירה וערצ'ה	فقط لم يختلف مسيره وعرضه
ואן משאהדתנא לאכת'לאפהמא	وأنَّ مشاهدتنا لاختلافهما
יוג'ב אן יכון לה חרכאת	يوجب أنْ يكون له حركات
כת'ירה ואן אלחרכאת אלכת'ירה	كثيرة وأنَّ الحركات الكثيرة
לא תכון אלא מן אג'ראם	لا تكون إلاَّ من أجرام
כת'ירה אד' כאן אלג'רם	كثيرة إذ كان الجرم
אלואחד לא יתחרך פי אן	الواحد لا يتحرَّك في آنٍ
ואחד חרכתין מכ'תלפתין	واحد حركتين مختلفتين
פכיף ת'לאת' או ארבע ואן	فكيف ثلاث أو أربع وأنَّ
אלאג'ראם אלכת'ירה אלמתסאויהֿ	الأجرام الكثيرة المتساوية
אלאשכאל תקאטע בעצ'הא	الأشكال تقاطع بعضها
בעצ'א פלד'לך אלחרכאת	بعضًا فلذلك الحركات
ינקץ בעצ'הא בעצ'א או	ينقص بعضها بعضًا أو
יזידה ואן ד'לך לא יצח	يزيده وأنَّ ذلك لا يصحّ
לנא אלא באלצנאעה אלהנדסיה	لنا إلاَّ بالصِّناعة الهندسية
תרינא מדאכ'להֿ שכל פי	تُرينا مداخلة شكل في
שכל עלי טריק אלתרכיב	شكل على طريق التركيب
בעד וקופנא עלי אלבסיט	بعد وقوفنا على البسيط
מנה פבדינא במערפהֿ אלאשכאל	منه فبدأنا بمعرفة الأشكال
אלבסיטה בעד אלנקט ואלכ'טוט	البسيطة بعد النقط والخطوط
, חתי במערפהֿ אלשכל אלמת'לת'	, حتّى بمعرفة الشَّكل المثلَّث
ואלמרבע ואלמדור ואלמדאכ'ל	والمربَّع والمدوَّر والمداخل
ואלממאס ואלמקאטע ומא	والمماس والمقاطع وما
מן אקסאמה יסתחיל ומא	من أقسامه يستحيل وما
מנהא יסתקים חתי ערפנא	منها يستقيم حتّى عرفنا
אן אשכאל אלאפלאך כריה	أنَّ أشكال الأفلاك كرية
או מסתדירה ואן בעצ'הא	أو مستديرة وأنَّ بعضها
מוצ'וע פי דאכ'ל בעץ'	موضوع في داخل بعض
פבתמאם הד'ה אלצנאיע מא	فبتمام هذه الصَّنائع ما
וצ'ע לנא אן מסיר אלקמר	وُضع لنا أنَّ مسير القمر
מרכב מן כ'מס חרכאת פיג'ב	مركّب من خمس حركات فيجب
אן נעתקד אן הד'ה אלצנאיע	أن نعتقد أنَّ هذه الصَّنائع
כלהא חק אד' לא יתם לנא	كلّها حقّ إذ لا يتم لنا
אעתקאד אכ'תלאף מסירה	اعتقاد اختلاف مسيره
עלי אלרסם אלטביעי אלא	على الرَّسم الطبيعي إلا
בהא . ואד' קד אוצ'חנא	بها . وإذ قد أوضحنا
כיף יכון אלעלם אלצ'רורי	كيف يكون العِلم الضروري
פיג'ב אן נד'כר מא יחרסה	فيجب أنْ نذكر ما يحرسه
מן אלפסאד וד'לך אן אכת'ר	من الفساد وذلك أنَّ أكثر
תנאזע אלנאס ואכ'תלאפהם	تنازع النَّاس واختلافهم
ואסתדלאלאתהם בה ומנה	واستدلالاتهم به ومنه
. ונקול אנה אד'א קאל	. ونقول إنَّه إذا قالَ
קאיל אעתקדת כד'א ללא	قائلٌ اعتقدتُ كذا لئَلاّ
אבטל אלמחסוס , וג'ב אן	أُبطلُ المحسوس , وجب أنْ
ננט'ר פלעל אלמחסוס ית'בת	ننظر فلعلَّ المحسوس يَثبت
בגיר מא אעתקדה פאן כאן	بغير ما اعتقده فإنْ كان
כד'אך פמעתקדה סאקט וד'אך	كذاك فمعتقده ساقط وذاك
כאלד'ין אעתקדוא אן אלמג'רה	كالذين اعتقدوا أنَّ المجرَّةَ
למא ישאהדון מן ביאצ'הא	لِمَا يشاهدون من بياضها
כאן עליהא מדאר פלך אלשמס	كان عليها مدار فلك الشَّمس
קדימא פענד אמתחאן כלאמהם	قديمًا فعند امتحان كلامهم
וג'דנא גירה ממכנא והו	وجدنا غيره ممكنًا وهو
אן יכון ד'לך בכ'ארא יתצאעד	أنْ يكون ذلك بخارًا يتصاعد
או ג'ז נאריא קאימא או	أو جزءً ناريًا قائمًا أو
כואכב צגארא מג'תמעה או	كواكب صغارًا مجتمعة أو
מא סוי ד'לך פסאקט מא	ما سوى ذلك فساقط ما
קאלוה . ואד'א קאל קאיל	قالوه . وإذا قالَ قائلٌ
אעתקדת כד'י ללא אבטל	اعتقدتُ كذى لئَلاّ أُبطلُ
אלמעקול וג'ב אן ננט'ר	المعقول وجب أن ننظر
כאן כאן ד'אך אלמעקול	إنْ كانَ ذاك المعقول
ית'בת בגיר מא אעתקדה	يَثبت بغير ما اعتقده
בטל מא אעתקדה וד'אך כאלד'ין	بطل ما اعتقده وذاك كالذين
זעמוא אן ההנא ארצ'א אכ'רי	زعموا أنَّ ههنا أرضًا أخرى
סוי הד'ה ואן דלילהם עלי	سوى هذه وأنَّ دليلهم على
ד'לך לתכון אלנאר פי אלוסט	ذلك لتكون النَّار في الوسط
אד' כל שי שריף פהו מחפוט'	إذ كل شيء شريف فهو محفوظ
פי אלוסט וקד אסתקאם לנא	في الوسط وقد استقام لنا
אעתקאד ד'לך ללאנסאן אלסאכן	اعتقاد ذلك للإنسان السَّاكن
פי אלארץ' אלתי הי וסט	في الأرض التي هي وسط
אלכל וסקט ענא מא אלתזמוא	الكلّ وسقط عنَّا ما التزموا
בה . ואד'א קאל קאיל אעתקדת	به . وإذا قالَ قائلٌ اعتقدتُ
כד'י קיאסא עלי אלמחסוס	كذى قياسًا على المحسوس
וכאן מעתקדה ד'אך יפסד	وكان معتقده ذاك يُفسد
מחסוסא אכ'ר כאן אלעמל	محسوسًا آخر كان العمل
עלי אעט'ם אלמחסוסין ומא	على أعظم المحسوسين وما
יוג'בה כאלד'ין זעמוא	يوجبه كالذين زعموا
אן אלאשיא אבתדית מן אלמא	أنَّ الأشياء ابتدأت من الماء
לאן אלחיואן מן ענצר רטב	لأنَّ الحيوان من عنصر رطب
, פלא יג'וז אן יכון אצלא	, فلا يجوز أنْ يكون أصلاً
אד' לא יקום בד'אתה ואד'א	إذ لا يقوم بذاته وإذا
אלתקי פי אלאסתדלאל מת'ל	التقى في الاستدلال مثلاً
הד'ין פאעט'מהמא אולי	هذين فأَعظمهما أولى
באלדלאלה . ואד'א קאל	بالدلالة . وإذا قالَ
קאיל אעתקדת כד'י קיאסא	قائلٌ اعتقدتُ كذى قياسًا
עלי אלמחסוס וכאן בעץ'	على المحسوس وكان بعض
קולה ינאקץ' בעצ'ה פקולה	قوله يناقض بعضه فقوله
באטל כקול אלד'ין זעמוא	باطل كقول الذين زعموا
אן אלכ'יר הו מא לד'ד'נא	أنَّ الخير هو ما لذذنا
לאנהם כד'א יחסון וליס	لأَنَّهم كذا يحسّون وليس
יתד'כרון אן קתלהם ילד'ד'	يتذكّرون أنَّ قتلهم يُلذِّذ
אעדאיהם כמא אן קתל אעדאיהם	أعداءَهم كما أنَّ قتلَ أَعداءهم
ילד'הם פיכון כ'ירא שרא	يلذّهم فيكون خيرًا شرًا
מעא מתנאקצ'א . ואד'א	معًا متناقضًا . وإذا
קאל קאיל אעתקדת כד'י	قالَ قائلٌ اعتقدتُ كذى
לעלהֿ כד'י , וחררנא תלך	لعلة كذى , وحرَّرنا تلك
אלעלה פוג'דנאהא תוג'ב	العلَّة فوجدناها توجب
שיא אכ'ר לא יעתקדה פקד	شيئًا آخر لا يعتقده فقد
אבטלהא וד'לך כקול אהל	أَبطلها وذلك كقول أهل
אלדהר אעתקדנא אלאשיא	الدهر اعتقدنا الأشياء
קדימה לאנא לא נצדק אלא	قديمة لأَنَّا لا نصدِّقُ إلاَّ
במא ידרכה חסנא ואלא יצדקוא	بما يدركه حسُّنا وأَلاَّ يُصدِّقوا
אלא במא אדרכה חסהם ימנעהם	إلاَّ بما أَدركَهُ حسُّهم يمنعهم
אעתקאד אלאשיא קדימה אד'	اعتقاد الأشياء قديمة إذ
לא ימכן אן יחסוא אלקדים	لا يمكن أنْ يحسُّوا القديم
פי קדמה . ורבמא קאל קאיל	في قدمه . وربَّما قالَ قائلٌ
אבית כד'י לעלהֿ כד'י	أَبيْتُ كذى لعلِّة كذى
ותג'דה קד דכ'ל פי אצעב	وتجده قد دخل في أَصعب
ממא הרב מנה כמא הרב בעץ'	ممّا هرب منه كما هرب بعض
אלמוחדין מן אלקול באנה	الموحِّدين من القول بأَنَّه
לא יקדר עלי רד אמס ללא	لا يقدر على ردِّ أَمسٍ لئَلاّ
יצפה באלעג'ז פדכ'לוא	يصفه بالعجز فدخلوا
פי מא הו שר ווצפוה באמחאל	في ما هو شرّ ووصفوه بالمُحال
ועלי מא סנד'כר פי בעץ'	وعلى ما سنذكر في بعض
אלמקאלה אלת'אניה אן שא	المقالة الثانية إنْ شاءَ
אללה תעלי . פנחן אלאן	الله تعالى . فنحن الآن
אד'א אלתמסנא את'באת חקיקה	إذا التمسنا إثبات حقيقة
באלעלם אלצ'רורי חרסנאה	بالعِلم الضروري حرسناه
מן הד'ה אלכ'מסה פנון	من هذه الخمسة فنون
אלמפסדה לה והו אלא יכון	المُفسدة له وهو ألا يكون
גירה יקצ'י בה חק אלמחסוס	غيره يقضي به حقّ المحسوس
ולא יכון גירה יקצ'י בה	ولا يكون غيره يقضي به
חק אלמעלום ולא יכון מפסדא	حق المعلوم ولا يكون مفسدًا
לחקיקה אכ'רי ולא מנאקצ'א	لحقيقة أخرى ولا مناقضًا
בעצ'ה בעצ'א פכיף אן ידכ'ל	بعضه بعضًا فكيف أنْ يدخل
פי שר ממא כרה . וד'לד	في شرِّ ممّا كره . وذلك
בעד חראסהֿ אלמחסוס ואלמעקול	بعد حراسة المحسوس والمعقول
באלדרבה אלתי וצפנאהא	بالدربة التي وصفناها
פצארת סבעה מעאן מע אלצבר	فصارت سبعة معانٍ مع الصبر
לצנאעהֿ אלנט'ר אלי תמאמהא	لصناعة النَّظر إلى تمامها
כ'רג'ת לנא אלחקיקה צחיחה	خرجت لنا الحقيقة صحيحة
. ואד'א אכ'ד' גירנא פי	. وإذا أخذ غيرنا في
אן ידעי באלעלם אלצ'רורי	أنْ يدّعي بالعِلم الضروري
אמתחנא קולה בהד'ה אלסבעה	امتحنَّا قوله بهذه السبعة
פאד'א אנחך במחכהא ותסקם	فإذا انحكَّ بمحكِّها وتقسَّم
במיזאנהא כאן צחיחא איצ'א	بميزانها كان صحيحًا أيضًا
מקבולא נסתעמלהא . וכד'לך	مقبولاً نستعملها . وكذلك
פי מעאני אלכ'בר אלצאדק	في معاني الخبر الصَّادق
אעני כתב אלנבוה לכן ליס	أعني كتب النبوَّة لكن ليس
הד'א מוצ'ע אשרח פיה צ'רובהא	هذا موضع أشرح فيه ضروبها
וקד שרחת מנה טרפא ואסעא	وقد شرحتُ منه طرفًا واسعًا
פי צדר תפסיר אלתוריה	في صدر تفسير التورية
. . פאן קאיל פכיף נחכם	. 6- فإنْ قائل فكيف نُحكِم
עלינא אלנט'ר פי אלמעלומאת	علينا النَّظر في المعلومات
ותחרירהא חתי נעתקדהא	وتحريرها حتّى نعتقدها
עלי מא תתהנדס ותתמכן	على ما تتهندس وتتمكّن
ואלנאס ינכרון הד'ה אלצנאעה	والنَّاس ينكرون هذه الصِّناعة
, וענדהם אן אלנט'ר יודי	, وعندهم أنَّ النَّظر يؤدّي
אלי אלכפר ויכ'רג' אלי	إلى الكفر ويخرج إلى
